注册会计师执行的下列审计程序中与实现采购交易截止目标不相关的有( )。,追查存货的采购记录至存货永续盘存记录,将验收单和卖方发票上的日期与采购明细账中的日期进行比较,参照卖方发票，比较会计科目表上的分类,从验收单追查至采购明细账,第十章采购与付款循环的审计,ACD,选项A与采购交易发生认定相关，选项C与采购交易分类认定相关，选项D与采购交易完整性认定相关。【知识点】采购与付款循环的内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
适当的职责分离有助于防止各种有意或无意的错误，采购与付款业务不相容岗位包括()。,询价与确定供应商,请购与审批,付款审批与付款执行,采购合同的订立与审批,第十章采购与付款循环的审计,ABCD,采购与付款交易不相容岗位至少包括：请购与审批;询价与确定供应商;采购合同的订立与审批;采购与验收;采购、验收与相关会计记录;付款审批与付款执行。【知识点】采购与付款循环的内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
注册会计师在审计A公司时，遇到了以下情况，其中可能存在重大错报风险的有( )。,会计人员将需要费用化的支出进行了资本化,公司12月11日销售一批商品，合同约定试用一个月，会计人员在当期没有确认收入,公司存在一笔应收账款，对方已经破产，应收账款很有可能不能收回，会计人员对其全额计提坏账,公司经营大型零售业务，仓库货物摆放混乱，存货记录不完整,第十章采购与付款循环的审计,AD,选项A，对于需要进行费用化的支出进行资本化，会导致费用减少，利润虚增，存在重大错报风险;选项D，A公司仓库货物摆放混乱，存货记录不完整，导致员工和客户发生舞弊和盗窃的风险极高，存在重大错报风险。【知识点】采购与付款循环评估重大错报风险,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
下列情形中，注册会计师应当设计和实施控制测试的有( )。,控制设计合理，但可能没有得到执行,仅通过实施实质性程序并不能够提供认定层次充分、适当的审计证据,在评估认定层次重大错报风险时，预期控制的运行是有效的,注册会计师拟信赖控制运行的有效性,第十章采购与付款循环的审计,BCD,当存在下列情形之一时，注册会计师应当设计和实施控制测试：(1)在评估认定层次重大错报风险时，预期控制的运行是有效的(即在确定实质性程序的性质、时间安排和范围时，注册会计师拟信赖控制运行的有效性);(2)仅实施实质性程序并不能够提供认定层次充分、适当的审计证据。【知识点】根据重大错报风险的评估结果设计进一步审计程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
假定不考虑审计重要性水平，A注册会计师对下列事项应提出审计调整建议的有( )。,L公司2012年10月从母公司购买办公楼，并于当月启用，该办公楼自2012年11月起计提折旧，截止2012年12月31日，L公司尚未取得该办公楼的产权证明,为保持某设备的生产能力，L公司对该设备进行日常修理，发生2万元维修费，并将其计入固定资产账面价值,因尚未办理竣工决算，L公司对于2012年5月启用的厂房暂估入账，并按规定计提折旧，该厂房的竣工决算于2012年12月25日完成，对固定资产原值和已计提的折旧均于该日进行了调整,L公司的某台生产设备因关键部件老化而经常生产大量不合格产品，因此，L公司对该设备全额计提了减值准备,第十章采购与付款循环的审计,BC,选项A，固定资产虽未取得产权证明，但本着实质重于形式的原则，L公司应对此固定资产计提折旧;选项B，不符合资本化的条件，所以应对L公司已经资本化的改造费用进行调整;选项C，对于已计提的折旧无需调整。【知识点】采购与付款循环以风险为起点的控制测试,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132923.html">2020年注册会计师考试《审计》每日一练(6-23)</a>,多选 审计
下列关于识别收入确认舞弊风险运用分析程序的说法中，错误的是( )。,如果注册会计师发现被审计单位大量的销售因不能收现而导致应收账款大量增加，需要对销售收入的完整性予以额外关注,分析程序是一种识别收入确认舞弊风险的较为有效的方法,将销售毛利率、应收账款周转率、存货周转率等关键财务指标与可比期间数据、预算数或同行业其他企业数据进行比较,将本期销售收入金额与以前可比期间的预算数进行比较，分析差异原因,第九章 销售与收款循环的审计,A,如果注册会计师发现被审计单位不断地为完成销售目标而增加销售量，或者大量的销售因不能收现而导致应收账款大量增加，需要对销售收入的真实性(发生)而非完整性认定予以额外关注。【知识点】收入舞弊风险的分析,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
为证实登记入账的销售交易均是真实的，注册会计师应实施的检查程序是( )。,了解客户信用情况，确定是否符合企业的赊销政策,检查登记入账的销售交易所附的原始凭证,检查发运凭证的连续性，并将其与主营业务收入明细账核对,检查会计记录中的数据以验证其正确性,第九章 销售与收款循环的审计,B,选项A，证实销售交易均经适当审批;选项C，证实所有销售交易均已登记入账;选项D，证实登记入账的销售交易金额准确。【知识点】细节测试的方向,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
下列能够发现被审计单位营业收入发生认定存在重大错报风险的审计程序是( )。,从发运凭证追查至营业收入明细账,从营业收入明细账追查至发运凭证,从发运凭证追查至销售发票,从营业收入明细账追查至银行对账单,第九章 销售与收款循环的审计,B,以账簿记录为起点追查至发运凭证，属于逆查，是证实发生认定的有效审计程序。【知识点】细节测试的方向,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
企业在批准了客户订购单之后，会编制一式多联的销售单，该项活动与销售交易的( )认定相关。,准确性,发生,完整性,截止,第九章 销售与收款循环的审计,B,接受客户订购单并编制销售单，表明销售业务的开始，与销售交易的“发生”认定相关。【知识点】销售与收款循环的相关内部控制与相关的认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
注册会计师针对营业收入的准确性认定实施的下列审计程序中，最有效的是( )。,从营业收入明细账追查至销售发票、发运凭证,抽取营业收入明细账中前后若干天的记账凭证，追查至发运凭证、客户签收单,函证应收账款,抽查并重新计算营业收入,第九章 销售与收款循环的审计,D,选项A，可以证实发生认定;选项B，可以证实截止测试;选项C，可以证实应收账款的存在认定，进而证实营业收入的发生认定。【知识点】注册会计师的审计程序与相关认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/132273.html">2020年注册会计师考试《审计》每日一练(6-19)</a>,单选 审计
针对下列被审计单位制定的内部控制中，注册会计师认可的有()。,只有附有装运凭证、销售发票才能够登记主营业务收入明细账,销售发票应事先连续编号,应收账款记账员定期向客户寄送对账单,记录销售的职责与处理销售交易的其他功能相分离,第九章 销售与收款循环的审计,ABD,应由独立于应收账款、营业收入和负责现金收取的人员向客户寄发对账单，并要求客户将任何例外情况直接向指定的未执行或记录销售交易的会计主管报告。【知识点】销售与收款循环的相关内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
下列注册会计师针对被审计单位销售与收款循环的重大错报风险的评估的说法中，恰当的有()。,注册会计师在识别和评估与收入确认相关的重大错报风险时，应当基于收入确认存在舞弊风险的假定，评价哪些类型的收入、收入交易或认定导致舞弊风险,注册会计师通过了解被审计单位销售模式和业务流程、收入确认的具体原则等，有助于其考虑收入虚假错报可能采取的方式，从而设计恰当的审计程序以发现此类错报,注册会计师通过实施风险评估程序了解到，被审计单位所处行业竞争激烈并伴随着利润率的下降，而管理层过于强调提高被审计单位利润水平的目标，则注册会计师需要警惕管理层通过实施舞弊低估收入，从而低估利润的风险,注册会计师需要结合对被审计单位及其环境的具体了解，考虑收入确认舞弊可能如何发生,第九章 销售与收款循环的审计,ABD,选项C不恰当，注册会计师通过实施风险评估程序了解到，被审计单位所处行业竞争激烈并伴随着利润率的下降，而管理层过于强调提高被审计单位利润水平的目标，则注册会计师需要警惕管理层通过实施舞弊高估收入，从而高估利润的风险。【知识点】收入确认可能存在舞弊风险的迹象,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
被审计单位管理层为了降低税负而采取的收入确认舞弊手段包括()。,在提供劳务或建造合同的结果能够可靠估计的情况下，不在资产负债表日按完工百分比法确认收入，而推迟到劳务结束或工程完工时确认收入,采用以旧换新的方式销售商品时，以新旧商品的差价确认收入,所售商品满足收入确认条件时，不确认收入而将收到的货款作为负债挂账,通过隐瞒售后回购或售后租回协议，而将以售后回购或售后租回方式发出的商品作为销售商品确认收入,第九章 销售与收款循环的审计,ABC,选项C属于为了达到粉饰财务报表的目的而虚增收入或提前确认收入的情形，会增加税负。【知识点】降低税负的收入确认舞弊手段,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
注册会计师考虑被审计单位登记入账的销售业务确实已发货给真实的顾客，为验证其真实性，可进行的测试有()。,复核主营业务收入总账、明细账、应收账款明细账中大额项目和异常项目,追查主营业务收入明细账中的分录至销售单、销售发票副联及发运凭证,检查应收账款明细账中贷方分录至销售单、销售发票副联及发运凭证,将发运凭证与存货永续记录中的发运记录核对,第九章 销售与收款循环的审计,ABCD,选项ABCD都可以实现“被审计单位登记入账的销售业务确实已发货给真实的顾客”这一目标。【知识点】细节测试的方向,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
下列各项审计程序中，可以为营业收入发生认定提供审计证据的有()。(2014年),从营业收入明细账中选取若干记录，检查相关原始凭证,对应收账款余额实施函证,检查应收账款明细账的贷方发生额,调查本年新增客户的工商资料、业务活动及财务状况,第九章 销售与收款循环的审计,ABCD,选项A，是逆查，为营业收入发生认定提供证据;选项B、C，应收账款的存在通常伴随着营业收入的发生，因此可以为营业收入发生认定提供证据;选项D，调查客户的真实性和相关活动可以为营业收入的真实性提供证据。【知识点】营业收入的实质性程序,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131918.html">2020年注册会计师考试《审计》每日一练(6-18)</a>,多选 审计
进一步审计程序是指注册会计师针对评估的各类交易、账户余额和披露认定层次重大错报风险实施的审计程序。以下关于进一步审计程序的说法中，正确的有( )。,风险的后果越严重，就越需要注册会计师关注和重视，越需要精心设计有针对性的进一步审计程序,重大错报发生的可能性越大，越需要注册会计师精心设计进一步审计程序,不同性质的控制(无论是人工控制还是自动化控制)对注册会计师设计进一步的审计程序具有重要影响,不同的交易、账户余额和披露产生的认定层次的重大错报风险的差异越大，适用的审计程序的性质的差别越大,第八章.风险应对,ABC,不同认定的风险差异越大，审计程序实施范围的差异越大，所实施的审计程序的性质不一定有大的差异。例如，如果存货的错报风险很高且现金的错报风险很低，注册会计师应当在存货项目中收集更多的证据，而在现金项目收集的证据可能比正常情况下少，但对这两个项目实施的审计程序都是监盘，性质上并无差异。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131687.html">2020年注册会计师考试《审计》每日一练(6-17)</a>,多选 审计
注册会计师的下列做法中，正确的是( )。,获取相关可靠的审计证据，消除财务报表中存在的重大错报的风险,在应对认定层次重大错报风险时，重点考虑合理确定审计程序的时间,如果将特定重大账户重大错报的风险评估为低水平，且控制测试支持这一评估结果，则不实施实质性程序,不因获取审计证据的困难和成本高低减少不可替代的审计程序,第八章.风险应对,D,选项A，注册会计师的审计目标是合理保证财务报表不存在由于舞弊或错误导致的重大错报，注册会计师既没有必要也不可能消除财务报表中存在重大错报的风险;选项B，注册会计师拟实施的进一步审计程序的性质、时间安排和范围中，进一步审计程序的性质是最重要的;选项C，注册会计师对所有重大的某类交易、账户余额或披露应当设计和实施实质性程序。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131687.html">2020年注册会计师考试《审计》每日一练(6-17)</a>,单选 审计
注册会计师在确定控制测试的时间时，下列提法中不恰当的是( )。,对于控制测试，注册会计师在期中实施此类程序具有更积极的作用,注册会计师观察某一时点的控制，则可获取该控制在被审期间有效运行的审计证据,注册会计师即使已获取控制在期中运行有效性的审计证据，仍需将控制运行有效性的审计证据合理延伸至期末,注册会计师如果将询问与检查或重新执行结合使用，通常能够获得控制有效性的审计证据,第八章.风险应对,B,要获取控制在某一期间有效运行的审计证据，注册会计师仅获取与时点相关的审计证据是不够的。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131687.html">2020年注册会计师考试《审计》每日一练(6-17)</a>,单选 审计
以下有关进一步审计程序的性质的说法中不恰当的是(  )。,对于与收入完整性认定相关的重大错报风险，控制测试通常更能有效应对,实施应收账款的函证程序可以为应收账款在某一时点存在及计价和分摊认定的认定提供审计证据,对于与收入发生认定相关的重大错报风险，实质性程序通常更能有效应对,对应收账款的计价和分摊认定，可通过检查应收账款账龄和期后收款情况，了解欠款客户的信用情况等获取审计证据,第八章.风险应对,B,实施应收账款的函证程序可以为应收账款在某一时点存在的认定提供审计证据，但通常不能为应收账款的计价和分摊认定提供审计证据，选项B不恰当。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131687.html">2020年注册会计师考试《审计》每日一练(6-17)</a>,单选 审计
以下有关控制环境的说法中，说法中正确的有( )。,财务报表层次的重大错报风险很可能源于薄弱的控制环境,当控制环境存在缺陷，注册会计师通常会选择在期中实施更多的审计程序,采用不同的审计抽样方法，使当期抽取的测试样本与以前有所不同，可以提高审计程序的不可预见性,控制环境存在缺陷通常会削弱其他控制要素的作用，导致注册会计师可能无法信赖内部控制，而主要依赖实施实质性程序获取审计证据,第八章.风险应对,ACD,选项B不正确。控制环境的缺陷通常会削弱期中获得的审计证据的可信赖程度，因此注册会计师会在期末而非期中实施更多的审计程序。,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131687.html">2020年注册会计师考试《审计》每日一练(6-17)</a>,多选 审计
注册会计师检查被审计单位销售业务，下列销售业务活动符合企业内部控制制度规定的是( )。,赊销业务须经过销售部门经理审批,会计人员A收到发货单、发运凭证、销售发票等原始凭证后，登记主营业务收入明细账及总账,登记应收账款的会计人员根据客户退货要求，登记账簿,负责装运货物的职员与按经批准的销售单供货的职员为不同的人员,第九章 销售与收款循环的审计,D,选项A，赊销业务应经过信用管理部门审批，而非销售部经理;选项B，主营业务收入明细账与总账不应由同一人登记;选项C，办理销售退回、销售折扣与折让，应经过适当授权批准。【知识点】销售与收款循环的相关内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131456.html">2020年注册会计师考试《审计》每日一练(6-16)</a>,单选 审计
下列认定中，与销售信用批准控制相关的是( )。,发生,准确性、计价和分摊,权利和义务,完整性,第九章 销售与收款循环的审计,B,设计信用批准控制的目的是为了降低坏账风险，因此与应收账款余额的“计价和分摊”认定有关。【知识点】销售与收款循环的相关内部控制与相关的认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131456.html">2020年注册会计师考试《审计》每日一练(6-16)</a>,单选 审计
企业在制定销售业务内部控制时，要求按月寄出对账单。下列关于该项控制的说法中，正确的是( )。,每月末由应收账款记账员向客户寄发对账单,由出纳人员核对收到的对账单进行核对,由不负责现金出纳和销售及应收账款记录的人员向客户寄发对账单,由应收账款记账员按月编制对账情况汇总表并交管理层审阅,第九章 销售与收款循环的审计,C,应由不负责现金出纳和销售及应收账款记账的人员向客户寄发对账单，因此选项AB不正确;应由独立的人员按月编制对账情况汇总表并交管理层审阅，因此选项D不正确。【知识点】销售与收款循环的相关内部控制,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131456.html">2020年注册会计师考试《审计》每日一练(6-16)</a>,单选 审计
注册会计师X负责审计A公司2013年度财务报表，指派注册会计师Y负责销售与收款循环的审计。Y执行的控制测试中包括如下程序：检查销售发票副联是否附有发运凭证及销售单，该程序针对的认定是( )。,销售交易的“发生”认定,销售交易的“完整性”认定,销售交易的“截止”认定,销售交易的“准确性”认定,第九章 销售与收款循环的审计,A,记录销售的人员应当只依据附有有效装运凭证和销售单的销售发票记录销售，该控制与销售交易的“发生”认定有关。【知识点】销售与收款循环的相关内部控制与相关的认定,<a href="http://www.zgcjpx.com/cpa/tiku/lianxi/sj/131456.html">2020年注册会计师考试《审计》每日一练(6-16)</a>,单选 审计
